매출_일련번호,매출년월,시간대_G2,매출금액,연령대_10세,성별,추정라이프스테이지,추정직업군,추정연소득구간,페르소나_1인가구_등급,페르소나_1인가구_스코어,페르소나_액티브시니어_등급,페르소나_액티브시니어_스코어,페르소나_반려동물보유_등급,페르소나_반려동물보유_스코어,페르소나_온라인쇼핑_등급,페르소나_온라인쇼핑_스코어,페르소나_건강관심_등급,페르소나_건강관심_스코어,페르소나_자녀교육관심_등급,페르소나_자녀교육관심_스코어,페르소나_문화활동관심_등급,페르소나_문화활동관심_스코어,페르소나_프리미엄소비_등급,페르소나_프리미엄소비_스코어,페르소나_가격민감_등급,페르소나_가격민감_스코어,페르소나_얼리어답터_등급,페르소나_얼리어답터_스코어,페르소나_아웃도어활동관심_등급,페르소나_아웃도어활동관심_스코어,페르소나_국내여행관심_등급,페르소나_국내여행관심_스코어,페르소나_해외여행관심_등급,페르소나_해외여행관심_스코어,페르소나_배달식선호_등급,페르소나_배달식선호_스코어,페르소나_간편식선호_등급,페르소나_간편식선호_스코어,페르소나_밀키트선호_등급,페르소나_밀키트선호_스코어,개인신용판매_이용금액_등급,주점업종_이용금액_등급,주류판매점업종_이용금액_등급,제과아이스크림업종_이용금액_등급,커피음료업종_이용금액_등급,한식업종_이용금액_등급,일식업종_이용금액_등급,중식업종_이용금액_등급,양식업종_이용금액_등급,부페업종_이용금액_등급,패스트푸드업종_이용금액_등급,간이음식점업종_이용금액_등급,할인점업종_이용금액_등급,마트업종_이용금액_등급,백화점업종_이용금액_등급,편의점업종_이용금액_등급,배달앱업종_이용금액_등급,현금서비스사용여부,가맹점_소재_광역시도,가맹점_소재_시군구,가맹점_소재_행정동,가맹점_지역_상권유형_(추정),매출발생요일,매출발생일_휴일여부,점포번호,포스번호,매출번호,구매수량,제품코드,제품코드명,제품금액,제품수량,제품대분류코드,제품대분류코드명,제품중분류코드,제품중분류코드명,제품소분류코드,제품소분류코드명
869,202011,00-06,86175,30대,F,자영업,전문의,6000-8000,3,0.1283,3,0.9138,2,0.4035,5,0.498,5,0.1718,5,0.6739,3,0.5424,4,0.4063,1,0.6849,5,0.8783,3,0.2765,4,0.5976,4,0.2753,4,0.3825,5,0.4489,2,0.5884,1,1,2,2,4,4,1,2,3,5,1,5,1,2,1,5,5,N,충북,시군구5,행정동4,상권유형C,Tuesday,N,435,9,138579,1,P35007,음료,40215,2,200,생활,220,의류,112,사이다
870,202006,18-24,21376,30대,F,학생,생산직,4000-6000,4,0.1951,3,0.9254,4,0.6484,4,0.9874,2,0.2167,4,0.6345,4,0.2983,2,0.2775,4,0.7713,5,0.6278,4,0.9963,2,0.8879,3,0.5838,1,0.9696,5,0.6754,2,0.1803,5,3,1,2,5,3,3,4,4,2,3,4,2,3,4,5,5,Y,전남,시군구1,행정동2,상권유형B,Thursday,N,149,52,128712,3,P69957,음료,41101,2,300,서비스,210,주택,122,초콜릿
871,202011,00-06,28982,30대,F,학생,사무직,0-2000,4,0.6371,4,0.2982,1,0.5495,1,0.2352,5,0.0387,1,0.0273,3,0.5525,1,0.3691,3,0.9126,5,0.604,5,0.3365,2,0.1178,4,0.5224,2,0.7908,1,0.1567,1,0.7133,1,2,1,4,5,4,3,1,4,5,5,5,5,5,4,3,3,N,전남,시군구5,행정동5,상권유형A,Tuesday,N,416,18,153606,5,P45004,생필품,1065,1,300,서비스,220,의류,122,초콜릿
872,202008,00-06,97597,30대,M,직장인,서비스직,4000-6000,1,0.2894,2,0.8403,2,0.8748,3,0.0196,1,0.6089,3,0.5113,3,0.9354,2,0.6424,3,0.9057,4,0.9508,5,0.2113,5,0.132,2,0.7626,5,0.028,2,0.5515,4,0.7478,3,5,4,3,3,4,3,5,5,3,1,3,4,4,4,1,2,N,충남,시군구5,행정동3,상권유형A,Sunday,N,321,23,177867,4,P22240,스낵,2824,2,200,생활,120,스낵,211,의류
873,202007,12-18,82007,30대,F,은퇴,생산직,8000+,4,0.1194,1,0.5362,1,0.0163,5,0.1114,5,0.6885,5,0.0362,3,0.869,3,0.8913,5,0.3393,2,0.756,1,0.4957,1,0.4746,4,0.9937,4,0.1166,3,0.5193,1,0.4139,3,5,1,5,1,4,4,2,2,4,4,2,5,1,2,5,5,N,부산,시군구4,행정동4,상권유형C,Wednesday,N,255,42,162347,8,P59900,음료,26977,3,100,식음료,120,스낵,211,의류
874,202007,18-24,22651,30대,M,취업준비,생산직,8000+,2,0.155,3,0.8228,2,0.774,2,0.2445,4,0.0034,1,0.6774,5,0.5764,2,0.6497,4,0.6039,1,0.6833,3,0.2294,3,0.2812,2,0.2068,3,0.218,3,0.5347,2,0.6168,1,3,3,5,2,2,4,1,1,5,4,1,5,3,4,2,2,N,서울,시군구3,행정동1,상권유형B,Friday,N,295,44,117895,2,P51527,생필품,41995,3,300,서비스,220,의류,112,사이다
875,202102,06-12,38970,30대,F,직장인,서비스직,2000-4000,5,0.1656,5,0.5484,4,0.0227,3,0.7259,4,0.5108,4,0.9358,3,0.4181,1,0.6462,2,0.1015,5,0.4357,3,0.5596,1,0.2769,3,0.4284,2,0.0835,3,0.5108,3,0.4845,1,3,5,3,2,2,5,2,5,2,5,2,4,3,2,2,2,N,전남,시군구1,행정동5,상권유형C,Saturday,N,494,12,101996,7,P69311,스낵,18979,1,200,생활,110,음료,111,콜라
876,202012,00-06,52059,20대,M,취업준비,전문의,2000-4000,4,0.4778,2,0.1459,2,0.3043,4,0.7758,4,0.3769,1,0.9075,2,0.6984,3,0.8169,3,0.0945,5,0.484,1,0.4007,1,0.6387,1,0.8668,1,0.4854,4,0.7503,3,0.333,4,4,3,2,2,2,4,5,3,1,3,3,2,1,4,1,5,N,제주,시군구2,행정동3,상권유형C,Sunday,Y,331,60,114193,4,P76832,스낵,30717,2,200,생활,210,주택,121,과자
877,202012,00-06,66762,50대,F,직장인,생산직,2000-4000,5,0.6074,5,0.0792,1,0.8797,2,0.5655,5,0.7924,5,0.2057,3,0.9231,3,0.1651,5,0.0715,1,0.3889,1,0.8968,2,0.4103,5,0.8381,1,0.3407,1,0.7575,1,0.6724,3,5,2,5,5,5,2,3,1,4,5,1,5,2,2,4,4,N,광주,시군구3,행정동3,상권유형B,Friday,Y,215,40,189139,4,P98886,생필품,30548,2,200,생활,120,스낵,111,콜라
878,202102,18-24,93681,40대,M,학생,생산직,2000-4000,4,0.1764,5,0.9572,2,0.6904,3,0.255,2,0.0389,3,0.7426,4,0.4895,5,0.3011,5,0.9271,2,0.9463,2,0.9279,2,0.8446,4,0.8172,4,0.9729,5,0.3296,3,0.2475,1,5,5,4,3,4,5,1,4,4,3,2,3,5,1,1,3,N,강원,시군구1,행정동2,상권유형A,Tuesday,Y,496,86,110447,4,P65623,간식,38238,2,200,생활,120,스낵,121,과자
879,202012,12-18,87241,20대,F,직장인,자영업자,2000-4000,3,0.7125,2,0.4258,1,0.172,3,0.5217,1,0.0486,5,0.7931,5,0.0993,5,0.0506,4,0.1524,4,0.6381,5,0.7131,3,0.4289,2,0.6204,2,0.4727,2,0.3508,5,0.3275,1,3,1,1,5,2,3,2,5,1,2,5,3,2,5,5,3,N,부산,시군구4,행정동4,상권유형C,Thursday,Y,346,61,117764,7,P55662,도시락,44142,1,200,생활,210,주택,111,콜라
880,202101,00-06,97742,40대,M,직장인,사무직,2000-4000,1,0.281,3,0.3505,4,0.4908,1,0.015,5,0.6202,3,0.8644,5,0.7661,4,0.3496,1,0.4823,1,0.7804,2,0.2157,3,0.6153,1,0.9932,1,0.2122,2,0.0165,1,0.4057,4,2,2,5,1,5,5,4,4,5,5,2,3,4,5,2,3,N,인천,시군구5,행정동1,상권유형A,Monday,N,139,88,141036,4,P35227,생필품,28666,1,200,생활,210,주택,122,초콜릿
881,202007,06-12,5023,50대,M,취업준비,생산직,4000-6000,2,0.3116,4,0.3563,5,0.7219,1,0.6818,1,0.5916,4,0.2596,4,0.0105,5,0.9988,3,0.4331,1,0.0372,2,0.4739,1,0.3979,5,0.3579,3,0.9707,2,0.1133,3,0.6146,4,4,1,2,4,4,3,1,2,4,3,2,3,1,4,1,5,N,경기,시군구4,행정동3,상권유형C,Tuesday,N,305,2,118641,6,P70470,스낵,38864,3,100,식음료,120,스낵,211,의류
882,202104,06-12,24399,20대,F,취업준비,사무직,0-2000,5,0.2235,3,0.3789,1,0.9373,3,0.6143,4,0.8311,5,0.4508,4,0.7646,2,0.3293,5,0.3248,5,0.8524,5,0.3054,1,0.256,1,0.1163,2,0.5139,4,0.2623,3,0.8522,3,2,1,3,3,3,2,5,5,3,2,4,3,5,4,4,3,N,서울,시군구5,행정동4,상권유형A,Sunday,N,487,45,111287,1,P47121,간식,30306,2,200,생활,110,음료,112,사이다
883,202011,00-06,56737,20대,F,자영업,무직,2000-4000,2,0.7852,4,0.945,4,0.6343,1,0.0218,2,0.5923,2,0.2215,3,0.0849,5,0.8598,1,0.5377,1,0.4176,2,0.7983,1,0.4713,3,0.1326,5,0.0731,4,0.7657,2,0.6149,1,1,5,1,4,5,4,4,1,1,4,5,4,5,4,2,3,N,충북,시군구3,행정동4,상권유형C,Monday,N,349,84,118716,3,P96456,간식,16871,3,100,식음료,210,주택,121,과자
884,202007,18-24,5862,10대,M,학생,서비스직,2000-4000,1,0.9598,5,0.0627,2,0.0247,5,0.817,5,0.9494,4,0.0243,2,0.1066,5,0.0858,3,0.0028,2,0.7372,4,0.0292,4,0.7205,1,0.4357,2,0.0809,4,0.7979,3,0.7261,1,2,2,3,2,5,4,4,5,5,3,5,1,1,4,2,1,N,강원,시군구2,행정동4,상권유형C,Wednesday,N,381,19,102505,5,P71679,도시락,28748,3,100,식음료,120,스낵,211,의류
885,202103,12-18,36178,10대,M,학생,자영업자,0-2000,2,0.4925,4,0.1191,1,0.4997,3,0.7634,5,0.3144,3,0.659,3,0.7817,1,0.4597,3,0.3801,5,0.04,5,0.6625,5,0.9528,4,0.8049,2,0.6753,3,0.248,2,0.2927,1,2,1,4,3,3,1,4,1,3,4,5,3,4,3,1,1,N,부산,시군구1,행정동2,상권유형C,Monday,N,331,22,151540,2,P35081,스낵,37088,3,300,서비스,110,음료,112,사이다
886,202102,00-06,16206,50대,F,학생,서비스직,8000+,3,0.042,5,0.7897,4,0.153,4,0.3082,3,0.3979,3,0.4315,4,0.6895,4,0.3515,2,0.4793,1,0.8939,1,0.3232,1,0.0422,2,0.4528,1,0.4948,2,0.8698,1,0.5874,1,4,5,1,2,1,1,1,2,3,4,1,3,5,5,4,2,N,충북,시군구3,행정동3,상권유형A,Thursday,N,427,71,129440,2,P94499,음료,44802,3,100,식음료,310,헬스,122,초콜릿
887,202006,12-18,93359,70대,F,은퇴,서비스직,6000-8000,4,0.2606,5,0.5494,2,0.0478,2,0.6354,3,0.9777,4,0.2481,3,0.5619,3,0.2016,2,0.8033,4,0.6598,3,0.481,1,0.5318,3,0.6114,1,0.6242,4,0.3757,5,0.1039,3,4,5,2,4,3,4,5,2,1,1,1,3,5,4,2,2,N,경기,시군구1,행정동1,상권유형B,Saturday,N,41,2,128879,2,P50835,도시락,5518,3,300,서비스,210,주택,111,콜라
888,202008,06-12,7269,10대,M,취업준비,전문의,8000+,5,0.1581,5,0.1285,3,0.5985,2,0.6015,3,0.1075,2,0.8471,2,0.8206,2,0.3725,5,0.701,3,0.4575,2,0.323,4,0.636,3,0.358,3,0.8497,1,0.7981,5,0.4633,2,1,2,4,1,2,1,2,3,4,3,4,4,4,3,4,2,Y,부산,시군구4,행정동4,상권유형A,Monday,Y,401,95,198002,5,P65804,생필품,17095,1,200,생활,110,음료,122,초콜릿
889,202006,00-06,15692,40대,F,학생,자영업자,4000-6000,5,0.8428,5,0.0345,3,0.7769,3,0.1432,3,0.7959,1,0.4957,1,0.8514,3,0.6513,3,0.8498,3,0.3036,1,0.3648,4,0.0857,2,0.7148,2,0.6814,2,0.4669,2,0.6899,2,1,3,5,4,4,3,1,1,5,5,5,2,4,3,2,4,N,인천,시군구5,행정동2,상권유형C,Monday,N,450,94,191678,9,P74887,음료,6843,1,300,서비스,120,스낵,111,콜라
890,202009,06-12,20317,20대,M,은퇴,서비스직,0-2000,3,0.0849,2,0.2242,3,0.0361,4,0.1933,5,0.0116,3,0.9947,1,0.4575,5,0.4903,5,0.3763,5,0.311,1,0.6744,4,0.8292,4,0.1531,4,0.8618,4,0.7126,1,0.1797,3,1,4,5,3,1,3,1,4,4,4,4,5,3,5,3,3,N,강원,시군구1,행정동2,상권유형A,Sunday,N,12,95,101091,7,P68855,음료,8976,3,200,생활,110,음료,111,콜라
891,202007,00-06,15710,40대,F,학생,서비스직,8000+,3,0.9665,1,0.2608,1,0.7836,2,0.6832,2,0.4865,5,0.7934,3,0.9963,5,0.8443,3,0.1409,1,0.3034,4,0.5955,1,0.276,3,0.5201,5,0.7427,4,0.3563,1,0.9021,4,5,3,4,4,3,3,1,1,2,4,5,1,1,3,3,1,Y,전남,시군구3,행정동4,상권유형C,Tuesday,N,394,78,190742,9,P60864,생필품,11665,1,300,서비스,310,헬스,121,과자
892,202102,00-06,57288,50대,M,취업준비,무직,4000-6000,5,0.5885,1,0.0142,2,0.7064,2,0.9336,5,0.1534,1,0.8692,4,0.3576,2,0.9049,5,0.4011,1,0.131,4,0.2441,5,0.8749,3,0.1851,3,0.6744,2,0.0706,5,0.4172,1,2,4,5,1,3,3,1,1,1,5,4,4,1,1,3,3,N,울산,시군구3,행정동1,상권유형A,Monday,N,252,99,106386,5,P75977,생필품,45159,4,200,생활,210,주택,211,의류
893,202012,18-24,37070,30대,M,학생,서비스직,6000-8000,1,0.5177,2,0.2161,4,0.752,1,0.5763,4,0.5989,2,0.7733,4,0.1715,3,0.4819,4,0.9631,1,0.4638,3,0.0436,4,0.5526,2,0.4686,2,0.1347,2,0.2541,5,0.6711,4,3,2,1,1,2,5,5,1,3,2,2,1,2,5,5,1,Y,충남,시군구2,행정동2,상권유형A,Monday,N,193,97,158744,1,P90384,도시락,20287,2,100,식음료,310,헬스,122,초콜릿
894,202105,12-18,91332,10대,M,자영업,서비스직,2000-4000,3,0.8474,4,0.7383,5,0.2447,3,0.5678,5,0.7982,4,0.1059,5,0.846,3,0.9817,5,0.2143,3,0.4535,4,0.856,1,0.1521,3,0.4305,5,0.4828,2,0.6971,3,0.4699,1,3,5,2,4,4,3,1,5,3,4,5,4,2,1,1,3,N,경기,시군구2,행정동2,상권유형C,Sunday,N,53,25,158313,2,P24717,도시락,46001,1,200,생활,120,스낵,121,과자
895,202102,00-06,26820,40대,F,자영업,자영업자,4000-6000,3,0.0275,3,0.8554,1,0.3936,4,0.6467,4,0.033,3,0.065,4,0.4156,4,0.072,2,0.1748,5,0.4119,4,0.4923,1,0.7392,2,0.6046,5,0.4331,5,0.918,5,0.7323,3,2,3,3,2,3,5,4,1,2,1,4,1,5,2,2,1,N,경북,시군구4,행정동5,상권유형C,Sunday,N,159,16,161865,7,P60946,음료,25778,3,200,생활,310,헬스,112,사이다
896,202101,18-24,54184,70대,F,자영업,사무직,4000-6000,4,0.7772,3,0.8982,3,0.1198,3,0.4406,5,0.1638,4,0.9151,1,0.8745,3,0.2763,2,0.9443,1,0.7031,1,0.6187,4,0.1572,3,0.5095,5,0.5407,3,0.6283,2,0.5843,2,5,1,5,2,2,3,1,4,4,1,2,2,5,2,4,1,Y,제주,시군구2,행정동4,상권유형C,Tuesday,N,337,83,149787,6,P64625,생필품,1444,2,100,식음료,310,헬스,121,과자
897,202012,12-18,66348,30대,M,취업준비,무직,2000-4000,5,0.1166,1,0.3899,5,0.2389,2,0.0542,3,0.3426,3,0.1382,5,0.0612,2,0.4167,1,0.9499,3,0.4198,1,0.4885,4,0.7204,4,0.9757,5,0.3911,1,0.769,3,0.1226,1,1,4,4,5,5,3,5,4,5,4,3,2,2,1,5,5,N,울산,시군구1,행정동2,상권유형B,Tuesday,Y,257,46,166681,8,P93011,도시락,20193,1,200,생활,220,의류,112,사이다
898,202006,18-24,62972,20대,F,취업준비,무직,4000-6000,4,0.8408,4,0.3194,2,0.3028,2,0.3965,3,0.2558,5,0.3912,5,0.1111,5,0.5827,2,0.1492,3,0.089,2,0.6189,4,0.8082,3,0.9003,5,0.6204,1,0.0141,1,0.9247,5,3,1,2,5,3,4,3,5,1,2,3,1,2,2,3,1,N,광주,시군구4,행정동4,상권유형A,Tuesday,N,30,6,110431,4,P61831,음료,36468,1,100,식음료,210,주택,111,콜라
899,202006,12-18,79841,20대,F,은퇴,무직,6000-8000,4,0.5292,2,0.9999,3,0.3194,2,0.9003,2,0.3832,5,0.6099,5,0.0403,2,0.5459,1,0.7695,1,0.8521,3,0.627,3,0.5755,1,0.2941,4,0.3925,1,0.7601,3,0.6601,1,3,5,1,1,1,2,3,3,2,4,1,2,4,1,1,5,N,충북,시군구1,행정동2,상권유형B,Thursday,N,153,45,144980,9,P23370,스낵,31575,4,200,생활,310,헬스,211,의류
900,202101,06-12,20984,40대,F,은퇴,서비스직,0-2000,4,0.0611,4,0.7693,5,0.175,2,0.8049,2,0.9519,3,0.2119,3,0.602,2,0.568,1,0.4297,2,0.4251,5,0.015,3,0.2711,5,0.1212,5,0.5576,2,0.8355,4,0.4721,4,4,5,4,3,4,5,1,5,3,5,2,4,4,3,5,3,N,경남,시군구2,행정동4,상권유형B,Saturday,N,17,2,189472,4,P78643,생필품,18728,2,100,식음료,210,주택,121,과자
901,202006,12-18,51238,40대,F,학생,사무직,0-2000,3,0.8332,1,0.5374,5,0.1887,2,0.9274,1,0.1012,3,0.2253,2,0.8319,2,0.8963,2,0.4922,2,0.6553,5,0.5333,4,0.4373,4,0.0648,2,0.3949,2,0.4127,5,0.6766,2,1,1,2,4,2,5,5,3,1,5,2,1,5,5,4,5,N,충북,시군구1,행정동2,상권유형A,Saturday,N,182,58,156114,8,P82316,생필품,6646,2,100,식음료,110,음료,211,의류
902,202006,12-18,80257,50대,M,자영업,생산직,8000+,2,0.0273,2,0.2548,4,0.9015,5,0.1528,2,0.4233,2,0.4662,5,0.4027,2,0.2776,5,0.4987,1,0.9299,5,0.5021,1,0.528,5,0.198,5,0.9018,3,0.4939,4,0.2609,4,5,3,2,4,4,1,3,1,4,1,2,4,4,2,3,1,N,대전,시군구3,행정동5,상권유형B,Wednesday,Y,453,67,167443,2,P85508,간식,38004,3,200,생활,110,음료,121,과자
903,202008,12-18,86438,50대,M,은퇴,생산직,4000-6000,2,0.1384,1,0.3213,4,0.7839,2,0.506,5,0.4571,3,0.3609,1,0.0907,3,0.8169,2,0.9684,3,0.7674,2,0.0958,2,0.6658,1,0.2221,1,0.3734,4,0.0524,4,0.769,4,4,2,2,2,4,1,1,5,1,2,3,3,4,2,2,3,N,전남,시군구2,행정동5,상권유형B,Friday,N,379,5,106653,5,P29194,음료,26313,1,100,식음료,210,주택,112,사이다
904,202104,00-06,62161,50대,F,직장인,무직,8000+,4,0.7978,2,0.5154,4,0.3445,2,0.5847,5,0.2803,5,0.6766,4,0.3735,4,0.558,5,0.1847,5,0.5388,3,0.7459,1,0.6339,5,0.8887,5,0.7309,5,0.1746,4,0.4112,3,4,1,2,5,4,2,4,3,1,3,3,5,4,4,4,5,N,대구,시군구2,행정동2,상권유형C,Tuesday,N,458,12,149468,9,P23558,음료,39651,2,100,식음료,120,스낵,111,콜라
905,202011,06-12,65537,50대,M,자영업,전문의,6000-8000,4,0.4649,5,0.5421,2,0.9476,4,0.2099,4,0.2785,3,0.0751,5,0.348,1,0.4905,5,0.7731,3,0.545,1,0.2359,5,0.4004,3,0.9248,2,0.6137,3,0.0565,4,0.805,4,3,4,2,4,5,1,5,1,2,1,5,4,5,4,2,1,N,광주,시군구2,행정동3,상권유형A,Sunday,N,84,90,109924,8,P14420,스낵,13984,3,100,식음료,220,의류,122,초콜릿
906,202102,00-06,86549,20대,M,학생,무직,6000-8000,2,0.8814,3,0.0137,5,0.2389,5,0.201,2,0.7148,4,0.4888,5,0.6435,5,0.2994,5,0.0057,4,0.8495,3,0.0545,4,0.7582,5,0.2305,2,0.3855,4,0.7314,3,0.2741,3,4,1,4,5,4,1,1,4,3,5,1,3,2,5,2,3,N,대구,시군구3,행정동5,상권유형C,Friday,Y,312,39,154373,4,P48527,간식,8264,4,200,생활,210,주택,122,초콜릿
907,202010,06-12,62862,40대,M,학생,자영업자,8000+,5,0.6354,3,0.9594,1,0.4068,3,0.782,3,0.6178,3,0.1743,3,0.6522,2,0.3041,3,0.6286,4,0.8236,1,0.8032,4,0.7714,4,0.7587,4,0.8076,4,0.7999,3,0.7903,4,2,1,1,4,2,5,2,2,4,5,5,5,2,3,4,1,N,경남,시군구4,행정동1,상권유형C,Sunday,N,151,6,134253,9,P20048,간식,18550,2,100,식음료,210,주택,211,의류
908,202008,00-06,94935,30대,F,학생,자영업자,6000-8000,5,0.6235,2,0.5756,1,0.8135,4,0.6719,4,0.8128,4,0.6067,5,0.103,1,0.3885,5,0.6527,5,0.1787,5,0.8651,3,0.6963,5,0.8358,1,0.9276,2,0.1087,1,0.9067,2,1,5,3,5,5,1,4,5,1,4,2,1,5,4,2,2,N,제주,시군구5,행정동4,상권유형C,Tuesday,N,230,2,179617,5,P78885,간식,12345,4,100,식음료,120,스낵,112,사이다
909,202010,00-06,13631,30대,F,학생,사무직,2000-4000,4,0.2922,2,0.5892,4,0.4429,1,0.6472,1,0.4051,4,0.1162,5,0.4202,4,0.7635,3,0.7537,5,0.6265,3,0.2407,5,0.2722,1,0.3775,5,0.7605,4,0.9216,1,0.9808,3,4,2,5,1,3,2,1,1,4,2,2,3,1,5,5,5,Y,제주,시군구4,행정동3,상권유형C,Sunday,N,484,40,178569,9,P62262,스낵,25689,2,300,서비스,120,스낵,112,사이다
910,202007,18-24,35442,60대,F,은퇴,사무직,4000-6000,2,0.1337,4,0.2115,5,0.2346,3,0.267,5,0.6067,3,0.1976,5,0.6425,2,0.4767,4,0.926,5,0.8657,4,0.6875,5,0.4694,3,0.8716,4,0.9486,2,0.8395,4,0.7767,1,3,5,5,2,4,5,4,4,1,1,1,2,2,3,3,3,Y,서울,시군구3,행정동3,상권유형C,Wednesday,N,414,9,109808,1,P38382,스낵,25313,4,200,생활,120,스낵,112,사이다
911,202103,00-06,12106,40대,M,자영업,사무직,2000-4000,5,0.9612,5,0.765,5,0.3685,1,0.5068,5,0.8936,5,0.8039,2,0.2589,4,0.1538,5,0.7538,5,0.8033,1,0.005,4,0.4328,4,0.9887,1,0.4363,2,0.5763,3,0.704,3,2,3,5,3,2,2,4,5,5,5,1,3,1,5,3,2,N,경남,시군구3,행정동3,상권유형A,Friday,N,348,14,137250,8,P36175,스낵,7066,1,300,서비스,220,의류,111,콜라
912,202008,18-24,9967,70대,M,자영업,전문의,2000-4000,2,0.1048,4,0.7373,4,0.5007,1,0.0231,5,0.8513,5,0.2352,4,0.4071,5,0.7599,1,0.7321,5,0.1247,5,0.7211,5,0.8168,3,0.9678,5,0.9137,5,0.9783,5,0.5199,1,2,3,2,2,5,1,3,1,3,4,1,3,5,5,4,4,N,인천,시군구3,행정동3,상권유형B,Monday,Y,482,21,193316,7,P50449,간식,23651,1,200,생활,220,의류,211,의류
913,202010,00-06,47722,30대,F,취업준비,서비스직,6000-8000,3,0.529,4,0.0952,2,0.6206,3,0.1299,1,0.92,1,0.7371,5,0.6137,4,0.6634,1,0.2538,5,0.4357,3,0.4648,4,0.8082,5,0.7419,1,0.8762,5,0.8825,1,0.1057,3,4,3,1,1,5,2,2,3,4,5,2,3,5,1,4,2,Y,제주,시군구1,행정동2,상권유형C,Tuesday,N,249,70,101487,2,P22956,간식,19717,2,200,생활,310,헬스,112,사이다
914,202105,18-24,23366,30대,M,은퇴,무직,0-2000,5,0.2726,3,0.595,2,0.4056,2,0.5183,5,0.269,2,0.2731,2,0.4029,4,0.9492,1,0.9928,4,0.5182,1,0.7925,4,0.8661,4,0.3717,5,0.7624,4,0.2226,2,0.5599,5,3,2,5,4,5,2,3,4,1,2,2,2,3,4,3,1,N,대전,시군구3,행정동3,상권유형A,Thursday,N,28,55,111263,3,P47489,음료,26212,4,100,식음료,220,의류,111,콜라
915,202101,06-12,41308,30대,F,학생,사무직,6000-8000,3,0.2641,1,0.6582,3,0.4313,1,0.3097,4,0.9854,5,0.235,2,0.0309,3,0.5294,4,0.4684,3,0.2578,2,0.393,2,0.2312,1,0.227,5,0.8352,3,0.954,2,0.5633,2,4,2,3,5,2,3,1,5,4,1,2,4,1,4,2,3,N,광주,시군구4,행정동5,상권유형C,Thursday,N,456,77,193426,8,P66617,간식,38156,2,100,식음료,210,주택,111,콜라
916,202011,12-18,44346,20대,M,은퇴,무직,4000-6000,2,0.5946,4,0.8356,2,0.2639,1,0.9657,3,0.8164,3,0.2992,2,0.2226,2,0.6544,3,0.4175,2,0.6795,2,0.3511,5,0.7485,1,0.9929,4,0.7301,4,0.443,5,0.0647,3,5,4,3,3,5,3,4,2,3,5,1,1,2,5,5,4,N,충남,시군구5,행정동1,상권유형C,Monday,N,52,33,145854,7,P51513,스낵,23054,1,300,서비스,220,의류,112,사이다
917,202012,06-12,62471,20대,M,학생,자영업자,2000-4000,1,0.7979,5,0.2061,3,0.5353,4,0.4715,1,0.7948,2,0.8809,2,0.7761,4,0.4793,2,0.5019,3,0.4762,1,0.8408,1,0.8704,4,0.2762,4,0.5123,4,0.1549,2,0.6906,5,5,4,3,4,4,1,4,3,3,1,2,1,3,3,4,1,N,전남,시군구1,행정동1,상권유형B,Monday,N,134,8,161878,2,P53915,스낵,14239,1,100,식음료,120,스낵,111,콜라
918,202103,06-12,94623,30대,M,학생,사무직,0-2000,2,0.7772,3,0.8776,1,0.2195,3,0.0836,3,0.6676,4,0.3972,4,0.2485,2,0.6808,4,0.3941,5,0.2975,1,0.0386,4,0.1665,2,0.4384,5,0.5524,1,0.2001,4,0.1489,1,2,1,1,4,1,2,3,3,1,3,1,1,2,2,1,1,Y,울산,시군구4,행정동1,상권유형A,Saturday,N,452,56,124758,1,P84504,도시락,45222,2,100,식음료,310,헬스,211,의류
919,202009,06-12,85089,20대,F,학생,사무직,6000-8000,4,0.8688,1,0.4615,2,0.8675,2,0.0178,2,0.9833,4,0.2438,5,0.8177,5,0.4361,1,0.5936,4,0.3369,4,0.1872,4,0.0399,2,0.2641,5,0.4177,2,0.6842,1,0.5966,4,2,2,4,3,5,3,4,2,4,3,4,3,4,3,4,3,N,경북,시군구1,행정동4,상권유형B,Tuesday,N,443,96,141629,3,P44247,도시락,38346,2,300,서비스,110,음료,211,의류
920,202101,12-18,38452,60대,F,자영업,생산직,8000+,4,0.2929,4,0.0965,5,0.7474,5,0.7253,5,0.4416,1,0.5366,1,0.4669,3,0.1379,1,0.3496,3,0.8567,5,0.4121,1,0.1055,5,0.4961,4,0.6643,1,0.9876,3,0.4726,3,1,5,2,4,3,3,3,5,5,3,4,3,4,4,5,2,N,서울,시군구1,행정동2,상권유형B,Saturday,N,50,65,166521,3,P21217,생필품,48069,3,300,서비스,310,헬스,211,의류
921,202104,06-12,33232,20대,M,취업준비,생산직,6000-8000,2,0.4658,5,0.1056,4,0.4103,2,0.1715,2,0.7415,1,0.3856,2,0.4729,3,0.9867,3,0.2399,1,0.8662,4,0.5963,4,0.6062,1,0.1104,1,0.3248,3,0.4453,3,0.8751,2,3,3,2,5,3,3,3,4,5,3,1,5,3,5,3,5,N,경남,시군구1,행정동1,상권유형A,Tuesday,N,428,25,131022,6,P58213,도시락,11929,4,200,생활,110,음료,211,의류
